	Gene	IndModel.adj.pvals	IndModel.FC	Tissue
0	RASGEF1B	0.0	0.897136152	Ex
1	NGFRAP1	0.0	-0.662872332	Ex
2	LINGO1	6.2599999999999995e-298	0.602907447	Ex
3	BEX1	8.2e-283	-0.605891113	Ex
4	SLC26A3	2.12e-276	0.897916223	Ex
5	TUBB2A	1.9899999999999998e-258	-0.645653274	Ex
6	BEX2	3.87e-244	-0.629187851	Ex
7	STMN1	3.28e-237	-0.554918797	Ex
8	ATPIF1	3.52e-234	-0.594685523	Ex
9	RAB3A	1.18e-233	-0.57481849	Ex
10	SPARCL1	1.45e-232	-0.421029007	Ex
11	CES4A	3.63e-231	-0.744177254	Ex
12	SOD1	6.86e-230	-0.598997646	Ex
13	SRP14	3.52e-224	-0.515238134	Ex
14	DYNLL1	3.11e-212	-0.472410538	Ex
15	SCG5	7.53e-211	-0.462550606	Ex
16	RAPH1	3.44e-210	-0.440484256	Ex
17	WSB1	5.7700000000000004e-210	-0.427257953	Ex
18	HINT1	6.1400000000000006e-208	-0.541864849	Ex
19	COX4I1	6.1400000000000006e-208	-0.623155829	Ex
20	PEBP1	1.77e-206	-0.455976838	Ex
21	VDAC3	1.9e-206	-0.528476117	Ex
22	BEX5	5.59e-202	-0.72683972	Ex
23	BEX4	3.8000000000000006e-200	-0.482490099	Ex
24	EID1	3.8000000000000006e-200	-0.489370617	Ex
25	C14orf2	3.65e-198	-0.493797738	Ex
26	TUBB4B	1.68e-197	-0.535668369	Ex
27	RPL15	5.0799999999999994e-197	-0.486459353	Ex
28	MDH1	2.05e-195	-0.444748445	Ex
29	DDX24	1.36e-194	-0.403174906	Ex
30	PDE10A	3.9e-193	-0.332705966	Ex
31	HSP90AA1	7.29e-193	-0.422238019	Ex
32	ATP6V1F	3.3600000000000003e-192	-0.589861682	Ex
33	TUBA4A	1.0199999999999999e-190	-0.562890982	Ex
34	APOO	1.02e-188	-0.504631367	Ex
35	NEFM	2.06e-188	-0.611159136	Ex
36	CIRBP	6.46e-186	-0.415872189	Ex
37	FAM153C	1.4500000000000001e-185	-0.455173154	Ex
38	MTRNR2L8	2.91e-182	2.751638313	Ex
39	TCEAL4	5.210000000000001e-181	-0.664470425	Ex
40	TCEAL2	1.0200000000000002e-179	-0.49552826	Ex
41	ICA1	4.5400000000000005e-179	-0.322661545	Ex
42	TARBP1	4.21e-178	-0.318281999	Ex
43	TIMP3	1.76e-175	-0.832917418	Ex
44	GAP43	5.34e-174	-0.421340431	Ex
45	TMSB4X	6.4e-174	-0.388043403	Ex
46	RPH3A	9.44e-173	-0.454401997	Ex
47	STAT4	6.93e-172	-0.429028923	Ex
48	RAB11A	6.57e-171	-0.345324948	Ex
49	CCK	2.23e-170	-0.433746675	Ex
50	STMN2	2.26e-170	-0.438431887	Ex
51	SNU13	4.62e-169	-0.523617859	Ex
52	PDXDC1	7.63e-168	-0.360705709	Ex
53	MGST3	2.5e-167	-0.408791096	Ex
54	TSPAN7	7.98e-165	-0.345886124	Ex
55	SNCG	9.189999999999999e-165	-1.012879428	Ex
56	RPL7	4.8900000000000005e-164	-0.543162499	Ex
57	FTH1	4.8900000000000005e-164	-0.397257858	Ex
58	SAP18	5.1000000000000005e-163	-0.521966635	Ex
59	RTF1	3.99e-162	-0.307665419	Ex
60	NEFL	7.68e-162	-0.447018324	Ex
61	DHFR	9.33e-162	1.175363347	Ex
62	ATP5G3	1.59e-161	-0.532004945	Ex
63	HMGN3	9.340000000000001e-160	-0.328134351	Ex
64	ISCU	3.87e-159	-0.504930297	Ex
65	PAK1	9.68e-158	-0.301086834	Ex
66	MLLT11	2.1400000000000002e-157	-0.424935425	Ex
67	ATP6AP2	3.9600000000000005e-157	-0.502786449	Ex
68	UBC	1.21e-156	-0.384760386	Ex
69	NDUFS5	3.01e-156	-0.415049643	Ex
70	RPL29	1.19e-155	-0.487654375	Ex
71	UQCRH	5.47e-155	-0.410196627	Ex
72	CHCHD2	1.59e-154	-0.513806964	Ex
73	NDUFA4	8.96e-154	-0.400658983	Ex
74	GOLT1B	3.6999999999999997e-153	-0.513069228	Ex
75	RTN4	8.63e-152	-0.336865101	Ex
76	SVOP	1.25e-151	-0.341678698	Ex
77	TUBA1A	2.5e-151	-0.443986414	Ex
78	CSMD1	5.87e-151	0.292989267	Ex
79	SPCS1	6.05e-151	-0.559290814	Ex
80	ACTG1	1.2899999999999998e-150	-0.346197277	Ex
81	HOOK2	1.34e-150	-0.477315426	Ex
82	PARK7	7.83e-150	-0.546045361	Ex
83	RAB1A	8.270000000000001e-148	-0.35282989	Ex
84	RGS4	1.08e-147	-0.397283285	Ex
85	ATP5L	1.4e-147	-0.451612733	Ex
86	NRN1	2.4499999999999997e-147	-0.478593924	Ex
87	PSMA7	4.64e-147	-0.528817645	Ex
88	ATF6B	1.29e-146	-0.500565904	Ex
89	SEPW1	2.05e-146	-0.40723468	Ex
90	UQCRC2	2.2e-146	-0.429524621	Ex
