	Gene	padj	FC	Tissue
0	STMN1	0.0	-0.887902687	Exc_Neuron
1	ATPIF1	0.0	-0.974219075	Exc_Neuron
2	RPL15	0.0	-0.784950495	Exc_Neuron
3	RASGEF1B	0.0	0.961990208	Exc_Neuron
4	HINT1	0.0	-0.889737305	Exc_Neuron
5	TUBB2A	0.0	-0.969311532	Exc_Neuron
6	NDUFA4	0.0	-0.890074686	Exc_Neuron
7	SLC26A3	0.0	0.948570212	Exc_Neuron
8	ATP6V1F	0.0	-1.031534316	Exc_Neuron
9	TMSB4X	0.0	-0.69521406	Exc_Neuron
10	BEX1	0.0	-0.982167113	Exc_Neuron
11	BEX2	0.0	-0.962256502	Exc_Neuron
12	NGFRAP1	0.0	-0.984560499	Exc_Neuron
13	PEBP1	0.0	-0.662448864	Exc_Neuron
14	DYNLL1	0.0	-0.86092217	Exc_Neuron
15	HSP90AA1	0.0	-0.762755793	Exc_Neuron
16	C14orf2	0.0	-0.842246395	Exc_Neuron
17	SRP14	0.0	-0.876774582	Exc_Neuron
18	LINGO1	0.0	0.67386894	Exc_Neuron
19	COX4I1	0.0	-0.947431753	Exc_Neuron
20	RAB3A	0.0	-0.902854458	Exc_Neuron
21	SOD1	0.0	-0.913429966	Exc_Neuron
22	SCG5	5.74e-299	-0.676188703	Exc_Neuron
23	BEX4	1.49e-295	-0.767320564	Exc_Neuron
24	EID1	2.34e-294	-0.740252292	Exc_Neuron
25	MDH1	3.83e-288	-0.6989665	Exc_Neuron
26	SPARCL1	1.3899999999999998e-285	-0.55345443	Exc_Neuron
27	TUBB4B	7.359999999999999e-285	-0.803396435	Exc_Neuron
28	UBC	1.5299999999999999e-282	-0.725905326	Exc_Neuron
29	FTH1	1.97e-275	-0.629245208	Exc_Neuron
30	TSPAN7	3.05e-274	-0.577006996	Exc_Neuron
31	TUBA4A	2.9e-271	-0.830258948	Exc_Neuron
32	VDAC3	1.75e-270	-0.725417274	Exc_Neuron
33	COX7C	3.77e-269	-0.705666581	Exc_Neuron
34	CCK	8.44e-269	-0.703769724	Exc_Neuron
35	APOO	1.26e-265	-0.730849609	Exc_Neuron
36	MTRNR2L8	5.9e-264	3.150953358	Exc_Neuron
37	TCEAL2	2.15e-260	-0.742997871	Exc_Neuron
38	SAP18	1.35e-258	-0.853191192	Exc_Neuron
39	BEX5	5.59e-258	-0.950387025	Exc_Neuron
40	MLLT11	1.6599999999999998e-256	-0.736861427	Exc_Neuron
41	RPL7	2.7799999999999997e-255	-0.883289633	Exc_Neuron
42	RPL29	7.88e-254	-0.839565307	Exc_Neuron
43	TUBA1A	3.22e-253	-0.780571421	Exc_Neuron
44	STMN2	3.79e-253	-0.687419508	Exc_Neuron
45	SEPW1	5.750000000000001e-251	-0.673184546	Exc_Neuron
46	COX5B	2.1099999999999999e-249	-0.854534176	Exc_Neuron
