	Gene	padj	FC	Tissue
0	DYNLL1	1.6899999999999998e-204	0.946627568	Exc_Neuron
1	NDUFA4	4.69e-204	1.145271455	Exc_Neuron
2	HSP90AA1	2.14e-198	0.847054771	Exc_Neuron
3	COX7C	1.2799999999999999e-191	1.058277504	Exc_Neuron
4	SH3BGRL3	8.54e-178	1.201841729	Exc_Neuron
5	BEX1	1.16e-173	0.921546625	Exc_Neuron
6	ATP6V1F	4.0800000000000004e-169	1.052963785	Exc_Neuron
7	ATP5E	2.4799999999999997e-168	1.259187268	Exc_Neuron
8	UBB	2.1000000000000002e-166	0.931939601	Exc_Neuron
9	RABAC1	2.3500000000000003e-163	1.107935199	Exc_Neuron
10	TMSB10	1.52e-162	0.860354545	Exc_Neuron
11	STMN1	1.7700000000000002e-160	0.831096962	Exc_Neuron
12	ATPIF1	4.71e-157	0.928269942	Exc_Neuron
13	COX6B1	5.43e-155	1.107571034	Exc_Neuron
14	COX5B	1.84e-153	1.118330572	Exc_Neuron
15	PCSK1N	1.2e-152	0.739597822	Exc_Neuron
16	UQCR10	9.94e-152	0.949750582	Exc_Neuron
17	TMSB4X	1.94e-151	0.775699698	Exc_Neuron
18	CALM1	3.57e-151	0.449120018	Exc_Neuron
19	TPT1	4.14e-151	0.841658057	Exc_Neuron
20	TCEB2	7.99e-151	1.230507185	Exc_Neuron
21	HSPA1A	8.849999999999999e-150	1.296565524	Exc_Neuron
22	RPL36AL	9.409999999999999e-150	1.082293737	Exc_Neuron
23	SRP14	1.9499999999999999e-149	0.891089613	Exc_Neuron
24	C14orf2	9.54e-149	0.863767406	Exc_Neuron
25	UBC	4.81e-148	0.848375435	Exc_Neuron
26	NGFRAP1	2.92e-147	0.806997372	Exc_Neuron
27	MYEOV2	7.22e-143	1.07523604	Exc_Neuron
28	ATP5G1	9.54e-143	1.125716476	Exc_Neuron
29	RASGEF1B	1.12e-142	-0.204086001	Exc_Neuron
30	COX7A2	1.24e-139	1.154409872	Exc_Neuron
31	FAU	1.73e-138	0.989431724	Exc_Neuron
32	HINT1	1.45e-134	0.862549472	Exc_Neuron
33	COX6C	7.439999999999999e-134	0.956079477	Exc_Neuron
34	ATP5J	8.479999999999999e-134	0.978932542	Exc_Neuron
35	RBFOX1	5.4400000000000004e-133	-0.311367157	Exc_Neuron
36	NDUFB11	1.6500000000000002e-132	1.167532956	Exc_Neuron
37	CKB	1.2e-131	0.661375214	Exc_Neuron
38	COX4I1	1.37e-130	0.812532604	Exc_Neuron
39	YWHAH	1.18e-129	0.740919401	Exc_Neuron
40	RPL15	1.72e-129	0.756788513	Exc_Neuron
41	RAB3A	2.5200000000000002e-129	0.820575287	Exc_Neuron
42	PLEKHA7	6.76e-129	0.800059204	Exc_Neuron
43	USMG5	1.06e-128	1.108242074	Exc_Neuron
44	BEX2	2.1899999999999998e-128	0.831251546	Exc_Neuron
45	RPL35A	6.6e-128	0.877098631	Exc_Neuron
46	DYNLRB1	9.01e-127	0.770739183	Exc_Neuron
47	TUBB2A	1.2799999999999999e-126	0.811254213	Exc_Neuron
48	CUTA	2.08e-126	1.080955422	Exc_Neuron
49	SERF2	7.73e-126	0.820156431	Exc_Neuron
50	UQCRQ	1.6400000000000002e-125	1.056215435	Exc_Neuron
51	FTH1	4.0700000000000004e-125	0.607382246	Exc_Neuron
52	RPS24	4.3e-124	0.811519628	Exc_Neuron
53	HSPH1	7.11e-124	0.717816914	Exc_Neuron
54	GADD45GIP1	2.0900000000000003e-123	1.031322913	Exc_Neuron
55	RPL6	3.33e-123	0.891217737	Exc_Neuron
56	RPS25	5.9300000000000005e-123	0.709450427	Exc_Neuron
57	RPL32	6.09e-123	0.627118491	Exc_Neuron
58	RPL23A	1.2900000000000002e-122	0.868425947	Exc_Neuron
59	LGALS1	7.65e-122	1.487627762	Exc_Neuron
60	TUBA1A	4.03e-121	0.838811927	Exc_Neuron
61	RPL29	6.21e-121	0.87101384	Exc_Neuron
62	GAPDH	1.75e-120	0.690536012	Exc_Neuron
63	GABARAPL2	2.68e-120	0.83903489	Exc_Neuron
64	SEPW1	7.12e-120	0.684753492	Exc_Neuron
