	NDD	OmicsLayer	Gene	MeanRegDir	count
0	AD	DEG	A1BG	0.0	2.0
1	AD	DEG	A1CF	0.0	2.0
2	AD	DEG	A2M	1.0	6.0
3	AD	DEG	A2ML1	0.6	10.0
4	AD	DEG	A4GALT	1.0	2.0
5	AD	DEG	AAAS	0.0	4.0
6	AD	DEG	AACS	-0.1428571428571428	7.0
7	AD	DEG	AADAC	0.0	2.0
8	AD	DEG	AAGAB	0.3333333333333333	3.0
9	AD	DEG	AAK1	0.4285714285714285	7.0
10	AD	DEG	AAMDC	1.0	2.0
11	AD	DEG	AAMP	-0.2	5.0
12	AD	DEG	AAR2	-0.3333333333333333	3.0
13	AD	DEG	AARD	0.3333333333333333	3.0
14	AD	DEG	AARS1	-1.0	5.0
15	AD	DEG	AARS2	-0.3333333333333333	3.0
16	AD	DEG	AASDH	1.0	8.0
17	AD	DEG	AASDHPPT	-0.4	10.0
18	AD	DEG	AASS	1.0	5.0
19	AD	DEG	AATF	0.3333333333333333	6.0
20	AD	DEG	AATK	0.0	2.0
21	AD	DEG	ABAT	0.6666666666666666	6.0
22	AD	DEG	ABCA1	0.25	8.0
23	AD	DEG	ABCA10	-1.0	2.0
24	AD	DEG	ABCA12	0.0	2.0
25	AD	DEG	ABCA2	0.4285714285714285	7.0
26	AD	DEG	ABCA3	-0.75	8.0
27	AD	DEG	ABCA4	0.3333333333333333	3.0
28	AD	DEG	ABCA5	-1.0	7.0
29	AD	DEG	ABCA6	-0.2	5.0
30	AD	DEG	ABCA7	0.2	5.0
31	AD	DEG	ABCA8	1.0	3.0
32	AD	DEG	ABCA9	0.3333333333333333	6.0
33	AD	DEG	ABCB1	0.6666666666666666	6.0
34	AD	DEG	ABCB10	0.5	4.0
35	AD	DEG	ABCB4	0.0	2.0
36	AD	DEG	ABCB5	1.0	4.0
37	AD	DEG	ABCB7	0.4285714285714285	7.0
38	AD	DEG	ABCB8	0.5	4.0
39	AD	DEG	ABCB9	0.3333333333333333	3.0
40	AD	DEG	ABCC1	0.2	5.0
41	AD	DEG	ABCC10	0.75	8.0
42	AD	DEG	ABCC11	1.0	4.0
43	AD	DEG	ABCC12	-0.7142857142857143	7.0
44	AD	DEG	ABCC2	1.0	3.0
45	AD	DEG	ABCC3	1.0	4.0
46	AD	DEG	ABCC4	0.6	5.0
