community,pathway,hubness in community,curated category
1,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.00178429,Carbohydrate metabolism
1,KEGG_CITRATE_CYCLE_TCA_CYCLE,0.002442187,Carbohydrate metabolism
1,KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.001102505,Carbohydrate metabolism
1,KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,0.001244038,Carbohydrate metabolism
1,KEGG_FATTY_ACID_METABOLISM,0.002164447,Carbohydrate metabolism
1,KEGG_STEROID_BIOSYNTHESIS,0.000884295,Carbohydrate metabolism
1,KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.002022545,Carbohydrate metabolism
1,KEGG_STEROID_HORMONE_BIOSYNTHESIS,0.00473173,Global and overview maps
1,KEGG_OXIDATIVE_PHOSPHORYLATION,0.02025147,Lipid metabolism
1,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.000476825,Lipid metabolism
1,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.001035675,Lipid metabolism
1,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.000543533,Energy metabolism
1,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.001502505,Nucleotide metabolism
1,KEGG_LYSINE_DEGRADATION,0.000993644,Nucleotide metabolism
1,KEGG_ARGININE_AND_PROLINE_METABOLISM,0.001289586,Amino acid metabolism
1,KEGG_HISTIDINE_METABOLISM,0.000727274,Amino acid metabolism
1,KEGG_TYROSINE_METABOLISM,0.001732694,Amino acid metabolism
1,KEGG_PHENYLALANINE_METABOLISM,0.000796983,Amino acid metabolism
1,KEGG_TRYPTOPHAN_METABOLISM,0.002082997,Amino acid metabolism
1,KEGG_BETA_ALANINE_METABOLISM,0.000811937,Amino acid metabolism
1,KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,0.000291862,Amino acid metabolism
1,KEGG_SELENOAMINO_ACID_METABOLISM,0.000262748,Amino acid metabolism
1,KEGG_GLUTATHIONE_METABOLISM,0.001928372,Amino acid metabolism
1,KEGG_STARCH_AND_SUCROSE_METABOLISM,0.000864352,Amino acid metabolism
1,KEGG_ARACHIDONIC_ACID_METABOLISM,0.003618031,Amino acid metabolism
1,KEGG_PYRUVATE_METABOLISM,0.001761918,Metabolism of other amino acids
1,KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0.000504285,Metabolism of other amino acids
1,KEGG_PROPANOATE_METABOLISM,0.001146643,Metabolism of other amino acids
1,KEGG_BUTANOATE_METABOLISM,0.001145641,Metabolism of other amino acids
1,KEGG_ONE_CARBON_POOL_BY_FOLATE,0.000381568,Carbohydrate metabolism
1,KEGG_FOLATE_BIOSYNTHESIS,0.000183775,Glycan biosynthesis and metabolism
1,KEGG_RETINOL_METABOLISM,0.005506413,Glycan biosynthesis and metabolism
1,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,0.00115735,Glycan biosynthesis and metabolism
1,KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,0.000284748,Carbohydrate metabolism
1,KEGG_LIMONENE_AND_PINENE_DEGRADATION,0.000567589,Glycan biosynthesis and metabolism
1,KEGG_NITROGEN_METABOLISM,0.000184197,Glycan biosynthesis and metabolism
1,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.005977988,Glycan biosynthesis and metabolism
1,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.006021355,Glycan biosynthesis and metabolism
1,KEGG_DRUG_METABOLISM_OTHER_ENZYMES,0.001886924,Lipid metabolism
1,KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.000748103,Carbohydrate metabolism
1,KEGG_PEROXISOME,0.002044414,Glycan biosynthesis and metabolism
1,KEGG_ALZHEIMERS_DISEASE,0.017253978,Lipid metabolism
1,KEGG_PARKINSONS_DISEASE,0.020499933,Lipid metabolism
1,KEGG_HUNTINGTONS_DISEASE,0.013976751,Lipid metabolism
1,REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE,0.003752248,Lipid metabolism
1,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,0.003016545,Lipid metabolism
1,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,0.002565506,Lipid metabolism
1,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL,0.002119012,Glycan biosynthesis and metabolism
1,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,0.003036142,Glycan biosynthesis and metabolism
1,REACTOME_ANDROGEN_BIOSYNTHESIS,0.000844763,Glycan biosynthesis and metabolism
1,REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION,0.000289776,Carbohydrate metabolism
1,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,0.002154662,Carbohydrate metabolism
1,REACTOME_SULFUR_AMINO_ACID_METABOLISM,0.000625238,Carbohydrate metabolism
1,REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,0.001234929,Carbohydrate metabolism
1,REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE,0.000126994,Metabolism of cofactors and vitamins
1,REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX,0.000985896,Metabolism of cofactors and vitamins
1,REACTOME_BIOLOGICAL_OXIDATIONS,0.011880557,Metabolism of cofactors and vitamins
1,REACTOME_XENOBIOTICS,0.00489495,Metabolism of cofactors and vitamins
1,REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE,0.012185352,Metabolism of cofactors and vitamins
1,REACTOME_ENDOGENOUS_STEROLS,0.003974649,Metabolism of cofactors and vitamins
1,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,0.001317216,Metabolism of cofactors and vitamins
1,REACTOME_PEROXISOMAL_LIPID_METABOLISM,0.001379137,Metabolism of terpenoids and polyketides
1,REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,0.002507399,Metabolism of terpenoids and polyketides
1,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,0.000555489,Energy metabolism
1,REACTOME_PYRUVATE_METABOLISM,0.001581737,Energy metabolism
1,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,0.023608365,Translation
1,REACTOME_ETHANOL_OXIDATION,0.001337858,Xenobiotics biodegradation and metabolism
1,REACTOME_GLUCURONIDATION,0.001185454,Xenobiotics biodegradation and metabolism
1,REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES,0.000452083,Xenobiotics biodegradation and metabolism
1,REACTOME_GLUTATHIONE_CONJUGATION,0.001673384,Lipid metabolism
1,REACTOME_TRYPTOPHAN_CATABOLISM,0.000451556,Membrane transport
1,REACTOME_CHOLESTEROL_BIOSYNTHESIS,0.001029331,Translation
1,REACTOME_METABOLISM_OF_PORPHYRINS,0.000533196,"Folding, sorting and degradation"
1,REACTOME_METHIONINE_SALVAGE_PATHWAY,8.36E-05,Transcription
1,REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE,0.00024875,Transcription
1,REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS,0.000520878,Replication and repair
1,REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,0.021664677,Transcription
1,REACTOME_O2_CO2_EXCHANGE_IN_ERYTHROCYTES,0.000468035,"Folding, sorting and degradation"
1,REACTOME_ACYL_CHAIN_REMODELING_OF_CL,0.000209827,"Folding, sorting and degradation"
1,REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,0.003433462,Endocrine system
1,REACTOME_METHYLATION,0.000594803,Replication and repair
1,REACTOME_SULFIDE_OXIDATION_TO_SULFATE,0.000153801,Replication and repair
1,REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE,0.000338395,Replication and repair
1,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,0.025378542,Replication and repair
1,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,0.000412718,Replication and repair
1,REACTOME_HEME_BIOSYNTHESIS,0.000367471,Signal transduction
1,REACTOME_HEME_DEGRADATION,0.000254602,Signal transduction
1,REACTOME_ESTROGEN_BIOSYNTHESIS,0.000627003,Signal transduction
