	id	cell_type	ctrl_ids	curator	drug_name	drugbank_id	geo_id	organism	pert_ids	platform	pubchem_cid	smiles	version
0	drug:3639	Bone marrow Sca+ SP hematopoeitic stem cells (HSC) - 10 Day	GSM26734|GSM26735	cadimo	Fluorouracil	DB00544	GSE1559	mouse	GSM26744|GSM26745	GPL81	3385.0	C1=C(C(=O)NC(=O)N1)F	1.0
1	drug:3499	vastus lateralis muscle	GSM801199|GSM801201|GSM801202|GSM801204|GSM801206|GSM801208|GSM801211|GSM801212|GSM801214|GSM801216	MicrotaskManic	Resveratrol	DB02709	GSE32357	human	GSM801198|GSM801200|GSM801203|GSM801205|GSM801207|GSM801209|GSM801210|GSM801213|GSM801215|GSM801217	GPL11532		Oc1ccc(cc1)/C=C/c1cc(O)cc(c1)O	1.0
2	drug:3292	lymphoblastoid cells	GSM162898|GSM162900|GSM162903	garibr01	Citalopram	DB00215	GSE7036	human	GSM162897|GSM162899|GSM162901	GPL570	2771.0	CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F	1.0
3	drug:3638	Bone marrow Sca+ SP hematopoeitic stem cells (HSC) - 6 Day	GSM26734|GSM26735	cadimo	Fluorouracil	DB00544	GSE1559	mouse	GSM26742|GSM26743	GPL81	3385.0	C1=C(C(=O)NC(=O)N1)F	1.0
4	drug:3475	liver	GSM1273512|GSM1273513|GSM1273514|GSM1273515	MicrotaskManic	Ethanol	DB00898	GSE52644	mouse	GSM1273500|GSM1273501|GSM1273502|GSM1273503	GPL1261	702.0	CCO	1.0
5	drug:3498	PBMC (peripheral blood mononuclear cells)	GSM906497|GSM906498|GSM906499|GSM906500|GSM906501|GSM906502	MicrotaskManic	Resveratrol	DB02709	GSE36930	human	GSM906515|GSM906516|GSM906517|GSM906518|GSM906519|GSM906520	GPL6244		Oc1ccc(cc1)/C=C/c1cc(O)cc(c1)O	1.0
6	drug:3637	Bone marrow Sca+ SP hematopoeitic stem cells (HSC) - 3 Day	GSM26734|GSM26735	cadimo	Fluorouracil	DB00544	GSE1559	mouse	GSM26740|GSM26741	GPL81	3385.0	C1=C(C(=O)NC(=O)N1)F	1.0
7	drug:3497	peripheral blood mononuclear cells (PBMCs)	GSM906491|GSM906492|GSM906493|GSM906494|GSM906495|GSM906496	MicrotaskManic	Resveratrol	DB02709	GSE36930	human	GSM906509|GSM906510|GSM906511|GSM906512|GSM906513|GSM906514	GPL6244		Oc1ccc(cc1)/C=C/c1cc(O)cc(c1)O	1.0
8	drug:3357	LUNGS of C57BL/6 males (on AIN-76A Diet) - Added to food - 10ppb	GSM279232|GSM279235|GSM279264|GSM279270|GSM279275	cadimo	Sodium arsenite		GSE11056	mouse	GSM279230|GSM279249|GSM279258|GSM279265|GSM279273	GPL1261	443495.0	[O-][As]=O.[Na+]	1.0
9	drug:3510	mouse embryonic fibroblast cells (MEF cells)	GSM817298|GSM817299	MicrotaskManic	Vitamin c	DB00126	GSE32994	mouse	GSM817296|GSM817297	GPL6246		OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O	1.0
10	drug:3511	mouse embryonic fibroblast cells (MEF cells)	GSM817302|GSM817303	MicrotaskManic	Vitamin c	DB00126	GSE32994	mouse	GSM817300|GSM817301	GPL6246		OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O	1.0
11	drug:3516	liver	GSM326974|GSM326976|GSM326978|GSM326980|GSM326982	MicrotaskManic	Perfluorooctanoic acid		GSE13044	mouse	GSM326983|GSM326985|GSM326987|GSM326989|GSM326991	GPL1261	9554.0	C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	1.0
12	drug:3517	liver	GSM326974|GSM326976|GSM326978|GSM326980|GSM326982	MicrotaskManic	Perfluorooctanoic acid		GSE13044	mouse	GSM326993|GSM326995|GSM326997|GSM326999|GSM327001	GPL1261	9554.0	C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	1.0
13	drug:3550	Nasal EPITHELIA exposed to 6 ppm - Inhalation - 19 Days	GSM159799|GSM159800|GSM159801|GSM159812	cadimo	Formaldehyde		GSE7002	rat	GSM159741|GSM159742|GSM159743|GSM159755	GPL1355	712.0	C=O	1.0
14	drug:3634	cranial neural crest - 48 Hours	GSM27271|GSM27272|GSM27273|GSM27274	cadimo	Tretinoin	DB00755	GSE1588	mouse	GSM27275|GSM27276|GSM27277	GPL81	444795.0	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C	1.0
15	drug:3515	aorta	GSM478610|GSM478611	MicrotaskManic	Vitamin e	DB00163	GSE42813	mouse	GSM1050380|GSM1050381	GPL1261	14985.0	CC1=C(C(=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)C)O	1.0
16	drug:3474	PC-3 cells	GSM1286084|GSM1286089	MicrotaskManic	Gefitinib	DB00317	GSE53180	human	GSM1286087|GSM1286092	GPL4133	123631.0	COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4	1.0
17	drug:3668	Skeletal muscle - 8 Hour	GSM5047|GSM5048|GSM5049|GSM5071	cadimo	Methylprednisolone	DB00959	GSE490	rat	GSM5215|GSM5216|GSM5217	GPL85	6741.0	CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O	1.0
18	drug:3669	Skeletal muscle - 12 Hour	GSM5047|GSM5048|GSM5049|GSM5071	cadimo	Methylprednisolone	DB00959	GSE490	rat	GSM5072|GSM5073|GSM5074	GPL85	6741.0	CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O	1.0
19	drug:2671	hippocampus	GSM53447|GSM53448|GSM53449|GSM53450|GSM53451|GSM53452|GSM53453	candicek	Levetiracetam		GSE2880	rat	GSM53433|GSM53434|GSM53435|GSM53436|GSM53437|GSM53438|GSM53439	GPL1355	5284583.0	CCC(C(=O)N)N1CCCC1=O	1.0
20	drug:2672	left sciatic nerve	GSM286159|GSM286160|GSM286163|GSM286165	AliDot	Rosiglitazone		GSE11343	mouse	GSM286431|GSM286432|GSM286433|GSM286434|GSM286436	GPL1261	77999.0	CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3	1.0
21	drug:2673	liver   b	GSM89873|GSM89875|GSM89878|GSM89881	Axel	Alitretinoin	DB00523	GSE3952	rat	GSM89858|GSM89861|GSM89864|GSM89867	GPL85		C/C(=C/C=C/C(=C/C(=O)O)/C)/C=C/C1=C(C)CCCC1(C)C	1.0
22	drug:3233	NB4 APL 9 acute promyelocytic leukemia cells - 72 Hours	GSM594067|GSM594068|GSM594069	cadimo	Tretinoin	DB00755	GSE23702	human	GSM594079|GSM594080|GSM594081	GPL6244	444795.0	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C	1.0
23	drug:3232	NB4 APL 9 acute promyelocytic leukemia cells -  (TG2-knockdown) 72 Hours	GSM594070|GSM594071|GSM594072	cadimo	Tretinoin	DB00755	GSE23702	human	GSM594082|GSM594083|GSM594084	GPL6244	444795.0	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C	1.0
24	drug:3231	NB4 APL 9 - acute promyelocytic leukemia cells - (TG2-knockdown) 48 Hours	GSM594070|GSM594071|GSM594072	cadimo	Tretinoin	DB00755	GSE23702	human	GSM594076|GSM594077|GSM594078	GPL6244	444795.0	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C	1.0
25	drug:3230	Mesentery - BALB/DBA F1 hybrid mice - Day 3	GSM432913|GSM432914|GSM432915	cadimo	Pristane		GSE17297	mouse	GSM432910|GSM432911|GSM432912	GPL1261	15979.0	CC(C)CCCC(C)CCCC(C)CCCC(C)C	1.0
26	drug:3237	MCF-7 breast cancer cells	GSM797427|GSM797430	cadimo	Tretinoin	DB00755	GSE32161	human	GSM797428|GSM797431	GPL570	444795.0	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C	1.0
27	drug:3198	AEC (primary airway epithelial cells) -  6 Hours with 0.4mM	GSM245430|GSM245432|GSM245440|GSM245452	cadimo	Hypochlorous acid		GSE11630	human	GSM245427|GSM245437|GSM245449|GSM245457	GPL571	24341.0	OCl	1.0
28	drug:3235	Culture from neonates ovaries	GSM585549|GSM585550|GSM585551	cadimo	Methoxychlor		GSE23725	mouse	GSM585555|GSM585556|GSM585557	GPL1261	4115.0	COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl	1.0
29	drug:3234	Culture from ovaries neonates	GSM585549|GSM585550|GSM585551	cadimo	4-vinylcyclohexene diepoxide		GSE23725	mouse	GSM585552|GSM585553|GSM585554	GPL1261	7833.0	C1CC2C(O2)CC1C3CO3	1.0
30	drug:3665	Skeletal muscle - 5.5 Hour	GSM5047|GSM5048|GSM5049|GSM5071	cadimo	Methylprednisolone	DB00959	GSE490	rat	GSM5191|GSM5192|GSM5193	GPL85	6741.0	CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O	1.0
31	drug:3239	MCF7 breast cancer cells - 100nM	GSM645710|GSM645711|GSM645718|GSM645719	cadimo	4-hydroxytamoxifen		GSE26298	human	GSM645712|GSM645713	GPL570	449459.0	CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3	1.0
